50
0	3 9 15 16 17 20 26 28 31 39 44 49 
1	3 4 8 9 15 16 33 36 38 43 44 47 49 
2	3 5 7 12 15 19 20 23 24 29 30 31 32 35 36 40 46 47 48 
3	0 1 2 4 7 9 11 13 17 21 24 27 28 29 31 32 34 35 37 39 43 45 47 49 
4	1 3 8 9 17 24 26 28 30 39 40 45 46 48 49 
5	2 10 16 19 20 26 27 35 38 42 44 49 
6	9 10 19 26 30 40 43 49 
7	2 3 11 12 17 26 27 29 32 36 48 49 
8	1 4 14 15 18 19 21 22 29 36 39 48 
9	0 1 3 4 6 11 13 15 17 18 19 21 27 28 31 32 33 36 38 39 44 47 49 
10	5 6 15 16 17 20 21 22 27 28 29 30 32 33 40 43 45 46 47 49 
11	3 7 9 18 22 25 26 28 29 31 34 36 49 
12	2 7 17 19 20 21 22 24 26 28 29 30 32 47 48 49 
13	3 9 14 20 21 24 26 27 34 35 36 37 45 47 49 
14	8 13 16 19 32 34 37 45 
15	0 1 2 8 9 10 16 19 23 25 31 32 40 
16	0 1 5 10 14 15 27 29 39 43 47 49 
17	0 3 4 7 9 10 12 18 19 22 25 30 33 46 
18	8 9 11 17 20 31 36 38 39 
19	2 5 6 8 9 12 14 15 17 20 21 29 30 33 35 39 45 47 48 
20	0 2 5 10 12 13 18 19 30 34 
21	3 8 9 10 12 13 19 25 26 27 31 33 34 39 40 44 48 49 
22	8 10 11 12 17 27 30 37 40 42 44 46 49 
23	2 15 37 40 49 
24	2 3 4 12 13 31 36 45 
25	11 15 17 21 38 49 
26	0 4 5 6 7 11 12 13 21 34 45 
27	3 5 7 9 10 13 16 21 22 31 34 38 40 41 46 
28	0 3 4 9 10 11 12 30 37 39 40 42 44 47 49 
29	2 3 7 8 10 11 12 16 19 38 41 43 46 49 
30	2 4 6 10 12 17 19 20 22 28 32 35 42 44 45 46 
31	0 2 3 9 11 15 18 21 24 27 39 40 41 42 43 45 47 
32	2 3 7 9 10 12 14 15 30 34 35 43 46 
33	1 9 10 17 19 21 40 42 46 47 49 
34	3 11 13 14 20 21 26 27 32 38 39 
35	2 3 5 13 19 30 32 39 40 46 47 49 
36	1 2 7 8 9 11 13 18 24 46 48 
37	3 13 14 22 23 28 39 40 43 49 
38	1 5 9 18 25 27 29 34 42 49 
39	0 3 4 8 9 16 18 19 21 28 31 34 35 37 40 42 43 47 
40	2 4 6 10 15 21 22 23 27 28 31 33 35 37 39 43 45 46 49 
41	27 29 31 48 49 
42	5 22 28 30 31 33 38 39 47 
43	1 3 6 10 16 29 31 32 37 39 40 44 46 48 
44	0 1 5 9 21 22 28 30 43 48 49 
45	3 4 10 13 14 19 24 26 30 31 40 46 
46	2 4 10 17 22 27 29 30 32 33 35 36 40 43 45 
47	1 2 3 9 10 12 13 16 19 28 31 33 35 39 42 49 
48	2 4 7 8 12 19 21 36 41 43 44 49 
49	0 1 3 4 5 6 7 9 10 11 12 13 16 21 22 23 25 28 29 33 35 37 38 40 41 44 47 48 

