50
0	1 3 8 10 13 17 21 26 29 30 33 34 42 47 48 
1	0 8 21 27 28 29 37 40 44 45 
2	6 8 11 16 23 33 40 
3	0 16 25 26 29 39 40 43 44 
4	7 14 17 18 29 32 36 37 39 40 43 46 48 
5	7 8 9 27 30 32 33 40 44 
6	2 12 21 22 23 25 28 35 38 39 44 47 
7	4 5 8 9 10 12 13 14 15 16 22 26 28 29 33 36 37 38 43 44 47 49 
8	0 1 2 5 7 9 10 11 12 13 14 16 17 18 19 20 21 23 24 25 26 27 28 30 31 33 35 36 38 39 42 44 45 46 48 49 
9	5 7 8 11 12 14 16 18 19 21 26 27 34 35 39 40 41 44 47 48 49 
10	0 7 8 17 24 26 27 28 29 33 38 40 43 44 46 47 49 
11	2 8 9 21 28 29 33 36 41 42 43 47 48 
12	6 7 8 9 15 16 18 25 28 29 32 33 35 40 
13	0 7 8 16 23 26 27 31 33 34 39 44 47 49 
14	4 7 8 9 16 18 21 33 
15	7 12 26 28 29 32 33 34 37 49 
16	2 3 7 8 9 12 13 14 21 23 25 29 30 31 40 42 44 46 48 49 
17	0 4 8 10 25 26 28 35 39 41 42 49 
18	4 8 9 12 14 20 21 22 25 28 29 30 36 37 39 40 43 
19	8 9 28 30 33 34 38 41 43 49 
20	8 18 23 25 26 28 33 43 
21	0 1 6 8 9 11 14 16 18 23 26 29 30 33 35 40 41 42 44 46 49 
22	6 7 18 24 32 33 36 42 
23	2 6 8 13 16 20 21 25 28 29 31 40 41 
24	8 10 22 26 28 29 32 33 35 38 41 44 45 
25	3 6 8 12 16 17 18 20 23 26 27 29 31 32 33 36 37 40 44 
26	0 3 7 8 9 10 13 15 17 20 21 24 25 29 32 40 41 44 46 47 
27	1 5 8 9 10 13 25 28 29 30 33 37 38 39 44 48 
28	1 6 7 8 10 11 12 15 17 18 19 20 23 24 27 29 30 31 34 35 38 39 40 41 42 46 47 
29	0 1 3 4 7 10 11 12 15 16 18 21 23 24 25 26 27 28 30 31 32 34 35 37 38 41 42 43 44 46 48 49 
30	0 5 8 16 18 19 21 27 28 29 31 36 38 39 41 44 
31	8 13 16 23 25 28 29 30 33 34 36 45 47 49 
32	4 5 12 15 22 24 25 26 29 33 35 38 44 46 47 
33	0 2 5 7 8 10 11 12 13 14 15 19 20 21 22 24 25 27 31 32 34 35 36 37 38 40 42 43 44 45 47 48 
34	0 9 13 15 19 28 29 31 33 40 43 44 46 
35	6 8 9 12 17 21 24 28 29 32 33 36 40 44 47 
36	4 7 8 11 18 22 25 30 31 33 35 38 40 44 45 47 
37	1 4 7 15 18 25 27 29 33 38 40 44 
38	6 7 8 10 19 24 27 28 29 30 32 33 36 37 47 48 
39	3 4 6 8 9 13 17 18 27 28 30 42 45 
40	1 2 3 4 5 9 10 12 16 18 21 23 25 26 28 33 34 35 36 37 42 44 47 49 
41	9 11 17 19 21 23 24 26 28 29 30 44 45 46 
42	0 8 11 16 17 21 22 28 29 33 39 40 
43	3 4 7 10 11 18 19 20 29 33 34 
44	1 3 5 6 7 8 9 10 13 16 21 24 25 26 27 29 30 32 33 34 35 36 37 40 41 46 
45	1 8 24 31 33 36 39 41 47 
46	4 8 10 16 21 26 28 29 32 34 41 44 47 
47	0 6 7 9 10 11 13 26 28 31 32 33 35 36 38 40 45 46 
48	0 4 8 9 11 16 27 29 33 38 
49	7 8 9 10 13 15 16 17 19 21 29 31 40 

