50
0	3 4 6 9 27 30 32 37 
1	3 6 10 14 17 21 24 26 32 35 39 40 42 48 
2	3 4 5 14 16 33 44 47 
3	0 1 2 6 7 8 10 12 13 17 18 24 26 27 28 29 30 36 37 38 39 40 42 43 46 48 49 
4	0 2 10 11 23 24 25 37 40 42 43 48 
5	2 10 19 25 30 33 34 38 
6	0 1 3 9 10 16 37 38 40 44 45 48 
7	3 10 12 15 22 24 41 
8	3 9 10 17 18 28 29 34 39 48 
9	0 6 8 10 14 15 17 32 
10	1 3 4 5 6 7 8 9 12 13 14 15 16 17 18 22 23 25 26 27 29 30 32 36 37 38 39 40 41 42 45 48 
11	4 18 22 26 28 31 32 37 38 40 42 
12	3 7 10 15 18 22 23 25 28 35 37 38 40 43 49 
13	3 10 17 18 20 21 22 24 33 36 41 42 
14	1 2 9 10 16 17 18 20 23 30 33 39 40 43 
15	7 9 10 12 21 29 32 37 49 
16	2 6 10 14 25 28 29 34 35 37 
17	1 3 8 9 10 13 14 21 26 29 30 41 47 
18	3 8 10 11 12 13 14 19 22 23 24 26 28 31 33 37 39 45 47 
19	5 18 27 29 33 34 36 37 40 
20	13 14 28 29 32 34 36 37 47 49 
21	1 13 15 17 24 26 32 37 47 
22	7 10 11 12 13 18 26 28 34 40 41 44 47 
23	4 10 12 14 18 31 32 37 40 43 44 46 
24	1 3 4 7 13 18 21 26 27 37 42 47 
25	4 5 10 12 16 27 36 37 38 41 44 46 
26	1 3 10 11 17 18 21 22 24 27 29 35 37 40 45 49 
27	0 3 10 19 24 25 26 29 31 37 40 43 
28	3 8 11 12 16 18 20 22 37 48 
29	3 8 10 15 16 17 19 20 26 27 31 36 38 45 49 
30	0 3 5 10 14 17 33 40 
31	11 18 23 27 29 32 33 41 43 47 
32	0 1 9 10 11 15 20 21 23 31 34 35 36 37 38 39 40 43 44 
33	2 5 13 14 18 19 30 31 36 37 40 41 47 48 
34	5 8 16 19 20 22 32 39 42 
35	1 12 16 26 32 37 40 47 
36	3 10 13 19 20 25 29 32 33 41 
37	0 3 4 6 10 11 12 15 16 18 19 20 21 23 24 25 26 27 28 32 33 35 39 40 41 42 44 45 46 47 48 
38	3 5 6 10 11 12 25 29 32 
39	1 3 8 10 14 18 32 34 37 48 
40	1 3 4 6 10 11 12 14 19 22 23 26 27 30 32 33 35 37 43 45 49 
41	7 10 13 17 22 25 31 33 36 37 
42	1 3 4 10 11 13 24 34 37 45 46 
43	3 4 12 14 23 27 31 32 40 
44	2 6 22 23 25 32 37 45 
45	6 10 18 26 29 37 40 42 44 
46	3 23 25 37 42 49 
47	2 17 18 20 21 22 24 31 33 35 37 48 
48	1 3 4 6 8 10 28 33 37 39 47 
49	3 12 15 20 26 29 40 46 

