50
0	5 9 12 13 15 17 34 42 47 
1	3 5 6 8 12 17 24 27 30 34 38 42 47 48 
2	5 11 14 16 18 20 22 23 26 30 33 36 42 47 48 
3	1 8 10 12 20 23 31 32 36 39 40 42 47 
4	12 14 27 30 31 34 41 49 
5	0 1 2 16 23 27 28 34 41 45 46 48 
6	1 8 15 20 23 29 35 49 
7	8 12 22 26 27 30 31 41 47 
8	1 3 6 7 12 31 34 35 36 41 48 
9	0 12 14 16 20 21 30 34 40 45 47 49 
10	3 20 22 30 33 48 49 
11	2 12 13 14 23 30 42 46 47 
12	0 1 3 4 7 8 9 11 14 15 16 18 21 23 25 28 29 30 33 36 40 44 45 46 
13	0 11 18 19 22 23 27 33 41 
14	2 4 9 11 12 23 26 27 30 31 32 
15	0 6 12 20 22 34 35 39 40 41 47 48 
16	2 5 9 12 17 18 19 21 25 28 29 30 31 35 36 40 41 43 45 46 
17	0 1 16 21 27 28 30 34 36 38 39 42 45 47 
18	2 12 13 16 21 34 37 47 
19	13 16 23 24 36 37 45 47 
20	2 3 6 9 10 15 23 24 25 26 30 36 40 
21	9 12 16 17 18 29 30 37 45 
22	2 7 10 13 15 23 31 37 41 
23	2 3 5 6 11 12 13 14 19 20 22 26 27 28 29 30 34 38 41 42 43 46 47 
24	1 19 20 26 28 29 30 41 42 43 47 48 
25	12 16 20 30 32 33 34 41 45 
26	2 7 14 20 23 24 27 30 33 37 42 44 49 
27	1 4 5 7 13 14 17 23 26 32 40 41 42 48 
28	5 12 16 17 23 24 32 33 34 36 37 41 44 48 
29	6 12 16 21 23 24 34 42 49 
30	1 2 4 7 9 10 11 12 14 16 17 20 21 23 24 25 26 31 34 35 40 42 44 48 
31	3 4 7 8 14 16 22 30 32 38 42 
32	3 14 25 27 28 31 34 35 37 41 42 47 
33	2 10 12 13 25 26 28 41 42 43 
34	0 1 4 5 8 9 15 17 18 23 25 28 29 30 32 36 37 38 39 40 43 44 45 49 
35	6 8 15 16 30 32 39 49 
36	2 3 8 12 16 17 19 20 28 34 
37	18 19 21 22 26 28 32 34 
38	1 17 23 31 34 40 45 47 49 
39	3 15 17 34 35 41 45 47 
40	3 9 12 15 16 20 27 30 34 38 42 44 46 49 
41	4 5 7 8 13 15 16 22 23 24 25 27 28 32 33 39 42 46 47 48 
42	0 1 2 3 11 17 23 24 26 27 29 30 31 32 33 40 41 49 
43	16 23 24 33 34 48 49 
44	12 26 28 30 34 40 
45	5 9 12 16 17 19 21 25 34 38 39 49 
46	5 11 12 16 23 40 41 
47	0 1 2 3 7 9 11 15 17 18 19 23 24 32 38 39 41 48 
48	1 2 5 8 10 15 24 27 28 30 41 43 47 
49	4 6 9 10 26 29 34 35 38 40 42 43 45 

